,team,number,position,height,weight,hometown,highschool,year
Cole Crider,Middlebury,86,TE/P,"6'0""",195,"Nashville, Tenn.",Montgomery Bell Academy,2023
Sean Clinton,Middlebury,87,WR,"6'1""",165,"Naperville, Ill.",Waubonsie Valley,2025
Anson Clough,Middlebury,89,TE,"6'7""",265,"Marblehead, Mass.",Marblehead,2023
Owen Halter,Middlebury,90,DL,"6'1""",230,"Pittsburgh, Pa.",Mount Lebanon,2026
Colby Burke,Middlebury,91,DL,"6'1""",265,"Barnstable, Mass.",Barnstable,2025
Dave Filias,Middlebury,92,DL,"6'1""",255,"Lynn, Mass.",KIPP Academy,2025
Brendan Easter,Middlebury,93,LB,"6'2""",210,"Glen Ridge, N.J.",Glen Ridge,2024
Joe Rubio,Middlebury,94,DL,"6'5""",235,"Rancho Santa Margarita, Calif.",Tesoro,2023
Macken McDonald,Middlebury,95,DL,"6'1""",295,"Madison, Conn.",Daniel Hand,2024
Tony Wang,Middlebury,96,P/K,"5'10""",173,"Rancho Mission Viejo, Calif.",St. Andrew's (Del.),2026
Ryan Whitney,Middlebury,97,DL,"6'1""",255,"Newfields, N.H.",Exeter,2023
Peter Merlini,Middlebury,98,DL,"6'0""",215,"Ponte Vedra Beach, Fla.",Ponte Vedra,2023
Phineas Hunt,Middlebury,99,DL,"5'11""",215,"Charlottesville, Va.",St. Andrew's (Del.),2026
Aundre Smith,Tufts,1,RB,"5'9""",180,"Houston, Texas",Cathedral,2025
Jack Racine,Tufts,2,DB,"6'2""",180,"Oradell, N.J.",River Dell,2023
OJ Armstrong,Tufts,3,WR,"5'10""",170,"Miami, FL",Ransom Everglades,Gr.
Luke Leongas,Tufts,4,QB,"5'10""",185,"Park Ridge, Ill.",Maine South,2025
Jaden Richardson,Tufts,5,WR,"6'2""",210,"San Mateo, Calif.",Menlo School,2024
Billy Dunn,Tufts,6,WR,"6'4""",200,"Shaker Heights, Ohio",Lawrenceville School (N.J.),2023
Cam O'Brien,Tufts,7,DB,"5'10""",180,"New Orleans, La.",Archbishop Hannan,2023
Michael Berluti,Tufts,8,QB,"6'1""",180,"Westwood, Mass.",Xaverian,2025
Jackson Butler,Tufts,9,WR,"6'2""",190,"Simsbury, Conn.",Simsbury,2023
Cade Moore,Tufts,10,WR,"6'3""",180,"The Woodlands, Texas",The Woodlands,2025
Jameer Alves,Tufts,11,DB,"5'11""",200,"Atlanta, Ga.",South Gwinnett,2025
Aidan MacLean,Tufts,12,QB,"6'0""",170,"Clearwater, Fla",Clearwater,2026
Phil Lutz,Tufts,13,WR,"6'0""",180,"North Caldwell, N.J.",West Essex,2023
Kyle Hammond,Tufts,14,DB,"6'2""",195,"Atlanta, Ga.",Woodward Academy,2025
Matt Crowley,Tufts,15,QB,"6'2""",210,"Topsfield, Mass.",St. John's Prep,2024
Matt O'Connor,Tufts,17,QB,"6'3""",205,"Stamford, Conn",St. Luke's,2026
Jeremy Zuniga,Tufts,18,DB,"6'1""",190,"Los Angeles, Calif.",Chaminade College Prep,2024
Gunnar Fisher,Tufts,19,WR,"6'0""",185,"Pittsburgh, Pa.",North Allegheny,2023
David Barrios,Tufts,20,RB,"6'1""",185,"Lynn, Mass.",Lynn Vocational Tech,2023
Mike Damiani,Tufts,21,WR,"6'3""",180,"Fort Meyers, Fla",Canterbury School,2026
Jayshon Means,Tufts,21,DB,"5'10""",200,"Oak Lawn, Ill.",Brother Rice,2023
Victor Garza,Tufts,22,DB,"5'9""",185,"Houston, Texas",Kinkaid,2024
Jevon Coney,Tufts,23,DB,"6'3""",195,"Ringgold, Ga",Ringgold,2026
Khallid Calhoun,Tufts,24,RB,"5'9""",175,"Santa Clarita, Calif",Crespi Carmelite,2026
Louis Timmins,Tufts,25,DB,"6'2""",185,"Milton, Mass.",Boston College HS,2025
Tyler Johnson,Tufts,26,RB,"5'9""",185,"Fairfax Station, Va.",South County,2023
Drew Guida,Tufts,27,DB,"6'0""",200,"New Canaan, Conn.",New Canaan,2024
Sam Frisoli,Tufts,28,WR,"6'0""",170,"Westwood, Mass.",St. Sebastian's,2025
Johnathan Oneal,Tufts,28,DB,"6'0""",185,"Cupertino, Calif.",La Jolla,Gr.
Steven Rauso,Tufts,30,DB,"5'11""",185,"West Hill, Calif",Calabasses,2026
Max Nunnally,Tufts,31,DB,"6'2""",200,"Decatur, Ga",Decatur,2026
Kristian Rosario,Tufts,32,DB,"6'1""",190,"Boston, Mass.",St. Sebastian's,2024
Matty Drouillard,Tufts,33,LB,"6'0""",210,"Norfolk, Mass.",Xaverian,Gr.
Jaden Pena,Tufts,34,DB,"6'0""",195,"Riverside, R.I.",Moses Brown,2023
Henry Ferrelli,Tufts,35,DB,"5'11""",185,"Tampa, Fla.",Berkeley Prep,2025
EJ Comerford,Tufts,36,LB,"6'0""",215,"Parsippany, N.J.",Parsippany Hills,2024
Chartellis Reece,Tufts,37,LB,"6'2""",200,"Frisco, Texas",Frisco,2025
Jaylen Callender,Tufts,38,WR,"5'9""",180,"New London, Conn.",New London,2025
Joey Dellumo,Tufts,39,RB,"5'9""",190,"Park Ridge, Ill.",Maine South,2025
Will McCreery,Tufts,40,DB,"6'1""",190,"Williston Park, N.Y.",Herricks,2023
Ryan Saccu,Tufts,41,DB,"6'0""",175,"Monroe, Conn",Masuk,2026
Ross Miller,Tufts,42,TE,"6'1""",215,"Tampa, Fla.",Berkeley Prep,2025
Nate Sousa,Tufts,42,DB,"6'1""",175,"Reston, Va",Gonzaga (DC),2026
Luke Botsford,Tufts,43,WR,"5'11""",170,"Milton, Mass.",Milton,2024
Gio Arquilla,Tufts,44,LB,"6'1""",220,"Hinsdale, Ill.",St. Ignatius Prep,2023
Will Duncanson,Tufts,45,LB,"5'10""",230,"Manlius, N.Y.",Fayetteville-Manlius,2025
Travis White,Tufts,46,LB,"6'0""",205,,Woodstock Academy,2024
Vaughn Seelicke,Tufts,47,K/P,"6'1""",170,"Little Rock, Ark",Pulaski Academy,2026
Jack Elliott,Tufts,48,TE,"6'2""",210,"Holliston, Mass.","Buckingham, Browne & Nichols",2025
Kent Oliver,Tufts,49,TE,"6'4""",240,"Cheshire, Conn.",Cheshire Academy,2024
Trevor Hillier,Tufts,50,LB,"6'1""",205,"Long Valley, N.J.",West Morris Central,2026
Jeff Xu,Tufts,51,LB,"6'1""",220,"San Jose, Calif",St. Francis,2026
Ciaran Hourihan,Tufts,52,OL,"6'4""",260,"Millis, Mass.",Millis,Gr.
Dylan Snee,Tufts,53,LB,"6'0""",205,"Franklin Lakes, N.J.",Ramapo,2026
Tyler Roach,Tufts,54,DL,"5'11""",225,"Atlanta, Ga.",Archer,2024
Jemar Mack Jr.,Tufts,55,DL,"6'2""",225,"Ludlow, Mass",Avon Old Farms,2025
Gary Kazanjian,Tufts,56,OL,"6'1""",260,"Glastonbury, Conn.",Choate Rosemary Hall,2023
Nick Dresens,Tufts,57,LB,"6'0""",200,"Wayland, Mass.",Wayland,2025
Shane Reiner,Tufts,58,LB,"5'11""",220,"Madison, Conn.",Daniel Hand,2024
Elias Bilal,Tufts,59,LB,"6'1""",205,"North Attleborough, Mass",Moses Brown,2026
Frank Cierech,Tufts,60,OL,"6'0""",225,"Bethlehem, Pa.",Freedom,2025
Andrew Franco,Tufts,60,DL,"6'2""",230,"Glen Head, N.Y.",North Shore,2024
Matthew Maiava,Tufts,61,OL,"6'3""",310,"Aiea, Hawaii",Laramie (Wyo.),2025
Edward Iuteri,Tufts,62,DL,"6'0""",260,"Greenwich, Conn.",Greenwich,2024
Blair Horning,Tufts,63,OL,"6'1""",260,"Berwyn, Pa.",Conestoga,2023
Jack Lynch,Tufts,65,OL,"6'4""",285,"Katy, Texas",Tompkins,2026
Gus Bickert,Tufts,66,OL,"6'4""",260,"Waldwick, N.J.",Waldwick,2024
Michael Maiava,Tufts,67,OL,"6'4""",285,"Aiea, Hawaii",Laramie,2025
Micah Maiava,Tufts,68,OL,"6'4""",320,"Aiea, Hawaii",Laramie,2025
Yann Silva,Tufts,69,OL,"6'1""",270,"Ridgefield, N.J.",St. Joseph,2026
Dillon Armstrong,Tufts,70,OL,"6'1""",250,"North Potomac, MD",Quince Orchard,2026
Javier Rios,Tufts,71,DL,"6'1""",230,"Boston, Mass.",Roxbury Latin,2024
Jared Vacher,Tufts,72,DL,"6'2""",235,"North Attleborough, Mass",North Attleborough,2026
Izzy Lobin,Tufts,73,OL,"6'3""",270,"Evanston, Ill.",Evanston,2023
Nick Swift,Tufts,74,OL,"6'5""",290,"Sun Valley, Idaho",Phillips Exeter,Gr.
Marcus Parara,Tufts,75,DL,"5'10""",260,"Hyde Park, Mass.",Dexter Southfield,2025
Joey Landry,Tufts,76,Dl,"6'3""",195,"Dartmouth, Mass",Bishop Stang,2026
Matt DiLullo,Tufts,77,OL,"6'4""",285,"White Plains, N.Y.",Archbishop Stepinac,2025
Speros Grapsas,Tufts,78,OL,"6'4""",275,"Tampa, Fla",Berkeley Prep,2026
Travis Cepalia,Tufts,79,OL,"6'2""",250,"Park Ridge, N.J.",Don Bosco Prep,2023
Robbie Moret,Tufts,80,WR,"6'1""",170,"Miami Beach, Fla.",Ransom Everglades,2024
CJ Burton,Tufts,81,WR,"5'11""",190,"Powder Springs, Ga",Woodward Academy,2026
Andrew Alexander,Tufts,82,WR,"6'0""",180,"Houston, Texas",Summer Creek,2026
Ryan Doyle,Tufts,83,WR,"5'11""",170,"Durham, Conn.",Choate Rosemary Hall,2025
Colin MacLean,Tufts,84,WR,"6'0""",170,"Palm Harbor, Fla",East Lake,2026
Jonathan Faber,Tufts,85,WR,"6'2""",180,"New York, N.Y.",Riverdale Country School,2024
Chase Mangini,Tufts,86,TE,"6'2""",195,"Rancho Santa Fe, Calif.",Hotchkiss School,2023
Bowman Rhinesmith,Tufts,87,TE,"6'2""",205,"Duxbury, Mass",Duxbury,2026
Phil Covil,Tufts,88,WR,"6'2""",185,"Miami, Fla.",Ransom Everglades,2023
John Hilinski,Tufts,89,WR,"6'4""",190,"Wellesley, Mass.",Beaver CDS,2025
Jalen Hill,Tufts,90,DL,"5'10""",235,"Dolton, Ill.",Marist,2025
Kyle King,Tufts,91,DL,"6'0""",260,"Sugar Hill, Ga.",Lanier,2025
Dom Haley,Tufts,92,DL,"6'1""",240,"Chula Vista, Calif.",Bishops School,2023
Sam Rushin,Tufts,93,DL,"6'2""",225,"Glencoe, Ill",Loyola Academy,2026
Marshall Wiese,Tufts,94,DL,"6'2""",240,"Murrieta Valley, Calif.",Linfield Christian School,2024
Chaz Collins,Tufts,95,DL,"6'4""",215,"Mount, N.Y.",Riverdale,2026
Suleiman Abuaqel,Tufts,96,DL,"6'2""",215,"Oak Park, Ill.",Fenwick,2026
Michael Butler,Tufts,97,DL,"6'4""",250,"Gaithersburg, Md.",Georgetown Prep,2023
Patrick Walsh,Tufts,98,K/P,"6'3""",220,"Concord, Mass.",Belmont Hill,2023
Dom DeCrescenzo,Tufts,99,DL,"6'2""",240,"Reading, Mass.",Reading,2025
Austin Dehmel,Williams,2,CB,"6'1""",200,"Darien, Conn.",Darien,2024
Riley O'Connell,Williams,3,QB,"6'0""",195,"Sudbury, Mass.",Lincoln-Sudbury Regional,2026
Ivan Shuran,Williams,4,K,"5'11""",175,"Medina, Ohio",Benedictine,2025
Mike DeGasperis,Williams,5,WR,"6'1""",195,"Briarcliff Manor, N.Y.",Iona Prep,2023
Jack Wallace,Williams,6,QB,"6'0""",200,"Trumbull, Conn.",St. Joseph,2026
Ethan Scott,Williams,7,LB,"6'1""",215,"Dalton, Mass.",Berkshire School,2025
James Hemmer,Williams,8,DB,"6'0""",215,"Kenilworth, Ill.",New Trier,2024
Carter Begel,Williams,9,RB,"5'11""",205,"Los Angeles, Calif.",Harvard-Westlake School,2023
Chaz Cotton,Williams,10,DB,"5'10""",180,"Los Angeles, Calif.",Campbell Hall,2023
Jack Dickinson,Williams,11,QB,"6'2""",215,"Mercer Island, Wash.",Lakeside School,2024
Braden O'Connell,Williams,12,TE,"5'11""",225,"Sudbury, Mass.",Lincoln-Sudbury Regional,2023
Jack Ledden,Williams,13,WR,"5'10""",180,"Sea Cliff, N.Y.",North Shore,2025
Nick Owens,Williams,14,QB,"6'5""",230,"Rye, N.Y.",Rye Country Day School,2023
Luke Bobo,Williams,15,QB,"6'0""",185,"Concord, Mass.",Belmont Hill School,2025
Drew Michalek,Williams,16,DB,"5'10""",190,"Marietta, Ga.",Walton,2023
George Papadopoulos,Williams,17,FS,"5'9""",179,"Falls Church, Va.",Meridian,2026
Ian McCarron,Williams,18,DB,"5'11""",190,"Cohasset, Mass.",Boston College,2025
Dan Vaughn,Williams,19,RB,"6'2""",205,"Fort Pierce, Fla.",Fort Pierce Central,2023
Campbell Pang,Williams,20,SS,"6'1""",200,"Duxbury, Mass.",Duxbury,2026
Josh Wax,Williams,21,DB,"5'11""",195,"Newton, Mass.",Belmont Hill School,2023
Mario Fischetti,Williams,22,RB,"5'8""",175,"Glen Head, N.Y.",Chaminade,2025
Joel Nicholas,Williams,23,RB,"5'11""",205,"Buffalo, N.Y.",Canisius,2023
Jack Murphy,Williams,24,DB,"6'0""",190,"Duxbury, Mass.",Duxbury,2025
Zach Barnes,Williams,25,LB,"6'0""",212,"Thornwood, N.Y.",Archbishop Stepinac,2024
Elijah Parks,Williams,26,RB,"5'11""",220,"Washington, D.C.",Maret School,2023
Will Sheskey,Williams,27,RB,"5'11""",205,"Scituate, Mass.",Scituate,2024
Jon Oris,Williams,28,RB,"5'9""",180,"Cheshire, Conn.",Avon Old Farms School,2026
Christian Cuttita,Williams,29,DB,"5'11""",195,"Chatham, N.J.",Chatham,2023
Cooper Brill,Williams,30,DB,"5'8""",185,"Stamford, Conn.",Kent School,2024
Calvin Pedatella,Williams,31,LB,"6'0""",175,"Bellport, N.Y.",Bellport,2026
Brandt Mandia,Williams,32,DB,"5'10""",185,"Staten Island, N.Y.",Monsignor Farrell,2023
Jamie Mazzacco,Williams,33,LB,"5'10""",215,"Monmouth Beach, N.J.",Shore Regional,2026
Justice McGrail,Williams,35,DB,"5'10""",175,"Methuen, Mass.",Central Catholic,2026
Sean Beaubien,Williams,36,DB,"5'11""",185,"Coral Gables, Fla.",Belen Jesuit Prep School,2024
Teddy Massingham,Williams,37,LB,"6'0""",195,"Duxbury, Mass.",Duxbury,2026
Rocco Giandomenico,Williams,38,DB,"6'0""",200,"Walpole, Mass.",Noble and Greenough School,2023
Ben Paquin,Williams,39,LB,"6'0""",185,"Clifton Park, N.Y.",Christian Brothers Academy,2025
Leslie Williams,Williams,40,LB,"5'11""",220,"Montgomery, Texas",Montgomery,2026
Alex Dehmel,Williams,41,DB,"5'10""",180,"Darien, Conn.",Darien,2023
Brian Anderson,Williams,42,DB,"5'10""",190,"Lighthouse Point, Fla.",Pine Crest School,2023
Desmond O'Mahony,Williams,43,LB,"5'10""",215,"Maynard, Mass.",Buckingham Browne & Nichols School,2023
Michael Bedard,Williams,44,TE,"6'2""",260,"Barrington, Ill.",Barrington,2024
Sam Jaffe,Williams,46,SB,"6'2""",235,"Great Barrington, Mass.",Milton Academy,2026
Coleston Smith,Williams,48,LB,"6'1""",225,"Ridgewood, N.J.",Ridgewood,2023
Tim Landolfi,Williams,49,LB,"6'1""",215,"Duxbury, Mass.",Duxbury,2024
Xander Utecht,Williams,51,OL,"6'2""",275,"Malvern, Pa.",Great Valley,2023
Tim Forth,Williams,54,DL,"6'5""",270,"Pittsford, N.Y.",Pittsford Sutherland,2024
Ryan Carney,Williams,55,DE,"6'2""",245,"Scituate, Mass.",Boston College,2025
Nikhil Ostrander,Williams,57,OL,"6'0""",275,"New York City, N.Y.",Horace Mann School,2023
Eli Peters,Williams,58,DL,"6'2""",250,"Duxbury, Mass.",Duxbury,2023
Jonathan Velasquez,Williams,61,DL,"6'0""",265,"Waterbury, Conn.",Cheshire Academy,2025
Michael Tartaglia,Williams,63,OL,"6'3""",310,"Mohegan Lake, N.Y.",Archbishop Stepinac,2024
Tallon Garelli,Williams,64,OL,"6'2""",320,"Westhampton, Mass.",Hampshire Regional,2023
Joseph Ngnombouowo,Williams,65,LT,"6'6""",300,"Boston, Mass.",Noble and Greenough School,2026
Blaise Takvor,Williams,66,OL,"6'4""",265,"Garden City, N.Y.",Chaminade,2025
Anthony Scala,Williams,67,DL,"6'0""",260,"Selden, N.Y.",Chaminade,2026
Cam Maguire,Williams,70,OL,"6'3""",260,"Lexington, Mass.",Lawrence Academy,2026
Michael Sheskey,Williams,71,OL,"6'1""",300,"Scituate, Mass.",Scituate,2026
Major Cook,Williams,73,OL,"6'1""",295,"Abingdon, Va.",Abingdon,2024
Alec Washecka,Williams,75,OL,"6'2""",255,"Darien, Conn.",Darien,2025
Rowan Stenson,Williams,76,OL,"6'4""",250,"Garden City, N.Y.",Garden City,2026
John Freeman,Williams,77,OL,"6'4""",300,"Milton, Mass.",Boston College,2024
Henry Walsh,Williams,79,OL,"6'5""",270,"Summit, N.J.",Summit,2024
Tyler Spiezio,Williams,80,TE,"6'3""",250,"Morris, Ill.",Morris Community,2023
Charles Willmott,Williams,81,WR,"6'1""",180,"Portland, Ore.",Oregon Episcopal School,2025
Brendan Guy,Williams,83,TE,"6'1""",235,"Springfield, Mass.",Springfield Central,2026
Will Loffredo,Williams,85,WR,"6'4""",215,"Sleepy Hollow, N.Y.",Fordham Prep School,2023
Cal Ewanich,Williams,86,WR,"5'11""",175,"Pleasanton, Calif.",Amador Valley,2024
Bryce Cooper,Williams,87,WR,"5'9""",165,"Exton, Pa.",Episcopal Academy,2026
Cameron Lee,Williams,88,WR,"5'10""",170,"Ronkonkoma, N.Y.",Sachem North,2025
Tim Brown,Williams,89,K,"6'0""",230,"West Newton, Mass.",Belmont Hill School,2024
Ryan Levrault,Williams,90,DL,"6'1""",230,"South Hadley, Mass.",South Hadley,2024
Cameron Smith,Williams,91,DE,"6'4""",250,"Ridgewood, N.J.",Ridgewood,2025
Ian Devine,Williams,93,DL,"6'2""",250,"Pelham, N.Y.",Fordham Prep School,2023
C.J. Vilfort,Williams,95,DL,"6'1""",270,"Jackson, N.J.",The Lawrenceville School,2024
Calvin Jackson,Williams,97,DL,"6'2""",245,"New Rochelle, N.Y.",New Rochelle,2024
Uyi Osayimwen,Williams,99,DL,"6'1""",270,"Methuen, Mass.",Central Catholic,2025
Thomas Elkhoury,Wesleyan,0,WR,6-0,175,"Spring, Texas ", The John Cooper School,2024
Wesley Abraham,Wesleyan,1,CB,5-10,175,"White Plains, N.Y. ", Iona Prep,2025
Danny Banks,Wesleyan,2,CB,6-1,180,"Montclair, N.J. ", Montclair,2023
Logan Tomlinson,Wesleyan,3,WR,6-3,205,"Manchester, Conn. ", Manchester,2023
Chris Guttman,Wesleyan,4,S,5-11,190,"Pittsburgh, Pa. ", Kent School (CT),2023
Jack Nally,Wesleyan,5,S,5-11,175,"Franklin, Mass. ", Franklin,2024
Jason Villano,Wesleyan,6,LB,6-1,220,"Wallingford, Conn. ", Sheehan,2025
Chase Wilson,Wesleyan,6,WR,6-1,180,"Lake Charles, La. ", St. Louis Catholic,2025
Adam Elsais,Wesleyan,7,LB,6-0,210,"North Plainfield, N.J. ", North Plainfield,2025
Ashton Scott,Wesleyan,7,QB,6-1,205,"Brockport, N.Y. ", Brockport,2023
David Estevez,Wesleyan,8,QB,5-11,190,"River Edge, N.J. ", River Dell Regional,2023
Harry LeGoullon,Wesleyan,9,LB,6-2,225,"Bedford, N.H. ", Bedford,2023
Alex Beauchesne,Wesleyan,10,S,6-0,180,"Holmes, N.Y. ", Carmel,2024
Nick Helbig,Wesleyan,11,DT,6-2,275,"Groton, Conn. ", Fitch,2023
Will Gardner,Wesleyan,12,QB,6-1,190,"Kensington, Md. ", Walter Johnson,2026
James Marsden,Wesleyan,12,CB,6-2,210,"Ivoryton, Conn. ", Valley Regional,2026
Liam Kennedy,Wesleyan,13,WR,5-10,175,"Yardley, Pa. ", La Salle College High School,2025
Dylan Connors,Wesleyan,14,CB,5-11,185,"Hewitt, N.J. ", West Milford,2026
Pat Rosetti,Wesleyan,14,TE,6-3,220,"Danbury, Conn. ", Danbury,2025
Devin Hardy,Wesleyan,15,WR,6-4,205,"Calabasas, Calif. ", Calabasas,2025
Michael Neal,Wesleyan,16,QB,6-1,200,"Hollywood, Fla. ", Albany Academies,2026
Connor Benedict,Wesleyan,17,WR,6-6,200,"Sutton, Mass. ", Sutton,2025
Charlie Hoban,Wesleyan,17,DB,5-11,180,"Winnetka, Ill. ", New Trier,2025
Evan O'Brien,Wesleyan,17,K,6-2,165,"Montclair, N.J. ", Montclair,2024
Reid Tolley,Wesleyan,18,QB,6-3,205,"Rye, N.Y. ", Tabor Academy,2024
Niko Candido,Wesleyan,19,QB,6-2,200,"Studio City, Calif. ", Kent School (CT),2025
Sean Walker,Wesleyan,20,CB,5-10,170,"Ardmore, Pa. ", St. Joseph's Prep,2025
Aidan McDonald,Wesleyan,21,RB,6-1,200,"Salem, N.H. ", Salem,2026
Charlie McPhee,Wesleyan,22,RB,6-0,195,"Pleasantville, N.Y. ", Pleasantville,2023
Owen Brickley,Wesleyan,23,RB,5-10,180,"Holderness, N.H. ", Plymouth Regional,2023
Luke LaSaracina,Wesleyan,24,WR,6-1,175,"Colchester, Conn. ", Bacon Academy,2025
Glenn Osemeha,Wesleyan,25,RB,6-2,180,"Colora, Md. ", West Nottingham Academy,2025
Mike Thompson,Wesleyan,26,CB,5-11,180,"Westport, Conn. ", Staples,2023
Charlie Amatrula,Wesleyan,27,RB,6-0,200,"Old Tappan, N.J. ", Northern Valley Old Tappan,2026
Daniel Yoon,Wesleyan,28,K/P,5-10,170,"Mill Creek, Wash. ", Henry M. Jackson,2024
Connor Marchand,Wesleyan,29,LB,5-11,205,"Leominster, Mass. ", Leominster,2023
Evan Lasseter,Wesleyan,30,LB,6-0,200,"Tarrytown, N.Y. ", Proctor Academy (NH),2026
Chris Textor,Wesleyan,30,K,6-0,155,"Hobe Sound, Fla. ", Pine School,2023
Wilson Mueller,Wesleyan,31,DB,6-0,195,"Belmont, Mass. ", Phillips Exeter (N.H.),2025
Zach Thannum,Wesleyan,32,DE,6-3,220,"Burbank, Calif. ", Sierra Canyon,2024
Ezra Jenifer,Wesleyan,33,TE,6-2,220,"Andover, N.H. ", Proctor Academy,2023
Nerdo Moreau,Wesleyan,34,DB,6-1,200,"Brooklyn, N.Y. ", Brooklyn Technical,2024
Brian Carmichael,Wesleyan,35,LB,6-1,220,"Wayland, Mass. ", Wayland,2023
Rickey Eng,Wesleyan,36,WR,5-11,170,"Hopewell Valley, N.J. ", The Pennington School,2025
Luis Sanchez,Wesleyan,37,WR,5-8,160,"Palm Bay, Fla. ", Bayside,2024
James McHugh,Wesleyan,38,RB,5-10,190,"Seaford, N.Y. ", Seaford,2026
Josh Bennett,Wesleyan,39,WR,6-2,200,"Baltimore, Md. ", Boys Latin School,2025
Joe Schaefer,Wesleyan,40,LB,6-1,210,"Rockwall, Texas ", Rockwall,2024
Kellan Walker,Wesleyan,42,RB,5-11,195,"Mechanicsburg, Pa. ", Cumberland Valley,2025
Trace Healy,Wesleyan,43,LB,6-1,210,"Wantage, N.J. ", Pope John XXIII,2025
Bak Harris,Wesleyan,44,LB,5-11,200,"Valley Stream, N.Y. ", Christ the King,2025
Jake Edwards,Wesleyan,45,LB,5-11,210,"Rockwall, Texas ", Rockwall,2024
Braden Myers,Wesleyan,46,TE,6-2,220,"Nashville, Tenn. ", Montgomery Bell Academy,2023
Jonathan Cray,Wesleyan,47,LB,5-11,205,"Whitinsville, Mass. ", Northbridge,2025
Ben Carbeau,Wesleyan,48,LB,6-1,225,"Concord, Mass. ", Phillips Academy,2025
Anthony Crossman,Wesleyan,49,RB,5-10,200,"Stamford, Conn. ", Choate Rosemary Hall,2026
Joe Flinn,Wesleyan,50,DE,6-0,220,"Dedham, Mass. ", Dexter Southfield School,2023
AJ Morris,Wesleyan,51,LB,6-0,210,"Secaucus, N.J. ", Bergen Catholic,2026
Chris DeMartino,Wesleyan,54,LB,5-11,195,"Thornwood, N.Y. ", Archbishop Stepinac,2026
Gavin Tatum,Wesleyan,56,OL,6-4,255,"Kennesaw, Ga. ", Allatoona,2025
Kade Doverspike,Wesleyan,57,LB,6-0,210,"Madison, Conn. ", Daniel Hand,2024
Sam Folse,Wesleyan,58,OL,6-3,275,"Watertown, Mass. ", Noble and Greenough School,2023
Justin Lockwood,Wesleyan,59,OL,6-2,260,"Kinnelon, N.J. ", Kinnelon,2024
Declan Welch,Wesleyan,60,DL,6-1,240,"Garden City, N.Y. ", Chaminade,2026
Liam Reardon,Wesleyan,61,OL,6-2,265,"Herndon, Va. ", Chantilly,2024
Mario Lee,Wesleyan,62,OL,6-1,235,"Milford, Mass. ", Milford,2025
Joe Kobeck,Wesleyan,63,OL,6-2,280,"Bronx, N.Y. ", Fordham Prep,2024
Will Aaronson,Wesleyan,64,OL,6-2,270,"St. Johns, Fla. ", Creekside,2025
Brett Nelson,Wesleyan,65,OL,6-5,280,"Glastonbury, Conn. ", Glastonbury,2024
Jack Ryan,Wesleyan,66,OL,6-4,290,"Newton, N.J. ", Pope John XXIII,2023
Will Orso,Wesleyan,67,DT,6-0,250,"York, Me. ", York,2026
James Fordham,Wesleyan,69,OL,6-2,270,"San Diego, Calif. ", Westview,2025
Kerry Campbell,Wesleyan,70,OL,6-2,270,"New Hartford, N.Y. ", New Hartford,2025
Matt Son,Wesleyan,72,DT,5-11,250,"Glendale, Calif. ", Flintridge Prep,2024
Keith Henderson,Wesleyan,74,DT,6-1,260,"Stoughton, Mass. ", Boston College High School,2023
Corin Canada-Hunt,Wesleyan,76,DL,6-0,210,"Boxford, Mass. ", Masconomet Regional,2026
Noah Lindstrom,Wesleyan,77,OL,6-4,250,"Manchester, Conn. ", Manchester,2025
Nick Orphanos,Wesleyan,78,OL,6-2,250,"Massapequa Park, N.Y. ", Chaminade,2026
Ryan Caserta,Wesleyan,79,OL,6-4,275,"White Plains, N.Y. ", Archbishop Stepinac,2025
Will Littell,Wesleyan,80,TE,6-4,220,"Adams Center, N.Y. ", South Jefferson,2026
Andrew Carroll,Wesleyan,81,WR,6-1,190,"Hanover, Mass. ", Hanover HS,2023
Will Livingston,Wesleyan,81,WR,5-10,175,"Milton, Mass. ", Milton Academy,2025
Jack Lucido,Wesleyan,82,WR,6-2,205,"Georgetown, Mass. ", Georgetown,2026
Matt Simco,Wesleyan,83,WR,6-4,220,"Hollis, N.H. ", Hollis Brookline,2023
Matt Luttenberger,Wesleyan,84,TE,6-2,230,"Denville, N.J. ", Morris Catholic,2024
Brady Walsh,Wesleyan,85,WR,6-0,190,"Bernardsville, N.J. ", Bernards,2026
Mike Solimando,Wesleyan,86,WR,5-11,190,"Middle Village, N.Y. ", St. Francis Prep,2026
Cal Fries,Wesleyan,87,WR,6-1,190,"Carlisle, Mass. ", Middlesex School,2024
Jack Manuelian,Wesleyan,88,TE,6-0,215,"Franklin Lakes, N.J. ", Bergen Catholic,2024
Colby Geddis,Wesleyan,89,WR,5-10,175,"Fort Lauderdale, Fla. ", Pine Crest,2026
Mike Rowan,Wesleyan,90,DE,6-3,245,"Collegeville, Pa. ", Germantown Academy,2025
Mason von Jess,Wesleyan,91,K/P,6-1,195,"Lakeville, Conn. ", The Hotchkiss School,2023
Jack Devlin,Wesleyan,92,LS,6-3,200,"Locust, N.J. ", Westminster School (CT),2024
Colton Weier,Wesleyan,94,DE,6-2,235,"Mesa, Ariz. ", Desert Vista,2024
Pat Boujoukos,Wesleyan,95,DT,6-3,270,"Wayne, Pa. ", Radnor,2024
Owen Verespy,Wesleyan,96,DT,6-0,235,"Lansdale, Pa. ", North Penn,2023
Quin Wieties,Wesleyan,98,DL,6-2,230,"Oak Park, Ill. ", Fenwick,2026
